Name,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats
Maruti Wagon R LXI CNG,2682.68,2010,72000,CNG,Manual,First,26.6 kmpl,998 CC,5.0
Hyundai Creta 1.6 CRDi SX Option,19162.0,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,5.0
Honda Jazz V,6898.32,2011,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,5.0
Maruti Ertiga VDI,9197.76,2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,7.0
Audi A4 New 2.0 TDI Multitronic,27194.71,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,5.0
Hyundai EON LPG Era Plus Option,3602.46,2012,75000,LPG,Manual,First,21.1 kmpl,814 CC,5.0
Nissan Micra Diesel XV,5365.36,2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,5.0
Toyota Innova Crysta 2.8 GX AT 8S,26826.8,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,8.0
Volkswagen Vento Diesel Comfortline,7971.39,2013,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,5.0
Tata Indica Vista Quadrajet LS,2989.27,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,5.0
Maruti Ciaz Zeta,15252.95,2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,5.0
Honda City 1.5 V AT Sunroof,6882.99,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,5.0
Maruti Swift VDI BSIV,8584.58,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0
Land Rover Range Rover 2.2L Pure,41389.92,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,5.0
Land Rover Freelander 2 TD4 SE,26826.8,2012,85000,Diesel,Automatic,Second,11.6 kmpl,2179 CC,5.0
Mitsubishi Pajero Sport 4X4,22994.4,2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,7.0
Honda Amaze S i-Dtech,8277.98,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,5.0
Maruti Swift DDiS VDI,9182.43,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,5.0
Renault Duster 85PS Diesel RxL Plus,9718.97,2014,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,5.0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,42922.88,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,5.0
BMW 3 Series 320d,28436.41,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,5.0
Maruti S Cross DDiS 200 Alpha,12646.92,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,5.0
Audi A6 2011-2015 35 TFSI Technology,36024.56,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,5.0
Hyundai i20 1.2 Magna,2866.64,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0
Volkswagen Vento Petrol Highline AT,4368.94,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,5.0
Honda City Corporate Edition,6515.08,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,5.0
Nissan Micra Diesel XV,6515.08,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,5.0
Maruti Alto K10 2010-2014 VXI,4215.64,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,5.0
Honda WRV i-VTEC VX,15176.3,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,5.0
Toyota Innova 2.5 V Diesel 7-seater,6131.84,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,7.0
Renault Duster 110PS Diesel RxZ Pack,11880.44,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,5.0
Toyota Corolla Altis G,10347.48,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,5.0
Mahindra Ssangyong Rexton RX7,19162.0,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,7.0
Audi A6 2.7 TDI,17629.04,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,5.0
Volkswagen Vento 1.6 Highline,10700.06,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,5.0
Maruti Wagon R LXI BSIII,2835.98,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,5.0
Maruti Vitara Brezza ZDi Plus,13229.44,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0
Mahindra KUV 100 mFALCON G80 K6 5str AW,7434.86,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,5.0
Mercedes-Benz M-Class ML 350 CDI,42922.88,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,5.0
Volkswagen Polo Diesel Trendline 1.2L,7664.8,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0
Maruti Alto LXi,1916.2,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,5.0
Tata Nano LX SE,2345.43,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,4.0
